ticker,sector
AAA,ETF
AAAU,ETF
AACG,XLP
AACQ,XLF
AAC,XLF
AADR,ETF
AAIC,XLRE
AAL,XLI
AAMC,XLF
AAME,XLF
AAN,XLY
AAOI,XLK
AAON,XLI
AAPL,XLK
AAP,XLY
AAQC,XLF
AAT,XLRE
AAU,XLB
AAWW,XLI
AAXJ,ETF
AA,XLB
AAXN,XLI
ABBV,XLV
ABB,XLI
ABCB,XLF
ABCL,XLV
ABCM,XLV
ABC,XLV
ABEO,XLV
ABEQ,ETF
ABEV,XLP
ABGI,XLF
ABG,XLY
ABIO,XLV
ABMD,XLV
ABM,XLI
ABNB,XLC
ABR,XLRE
ABST,XLK
ABT,XLV
ABTX,XLF
ABUS,XLV
AB,XLF
ACACU,XLF
ACAC,XLF
ACAD,XLV
ACAHU,XLF
ACAH,XLF
ACAMU,XLF
ACAM,XLF
ACA,XLI
ACBAU,XLF
ACBI,XLF
ACB,XLV
ACCD,XLV
ACCO,XLI
ACC,XLRE
ACEL,XLY
ACER,XLV
ACES,ETF
ACET,XLV
ACEVU,XLF
ACEV,XLF
ACGLO,XLF
ACGLP,XLF
ACGL,XLF
ACHC,XLV
ACHL,XLV
ACHV,XLV
ACH,XLB
ACIA,XLK
ACIC,XLF
ACII,XLF
ACIO,ETF
ACIU,XLV
ACIW,XLK
ACI,XLP
ACKIT,XLF
ACKIU,XLF
ACLS,XLK
ACMR,XLK
ACM,XLI
ACNB,XLF
ACND,XLF
ACN,XLK
ACOR,XLV
ACP,XLF
ACQRU,XLF
ACQR,XLF
ACRE,XLRE
ACRS,XLV
ACR,XLRE
ACRX,XLV
ACSG,ETF
ACSI,ETF
ACST,XLV
ACTCU,XLF
ACTC,XLF
ACTDU,XLF
ACTG,XLI
ACTV,ETF
ACU,XLP
ACVA,XLK
ACVF,ETF
ACV,XLF
ACWF,ETF
ACWI,ETF
ACWV,ETF
ACWX,ETF
AC,XLF
ACY,XLI
ADAG,XLV
ADAP,XLV
ADBE,XLK
ADCT,XLV
ADC,XLRE
ADERU,XLF
ADER,XLF
ADES,XLI
ADEX,XLF
ADFI,ETF
ADIL,XLV
ADIV,ETF
ADI,XLK
ADMA,XLV
ADME,ETF
ADMP,XLV
ADMS,XLV
ADM,XLP
ADNT,XLY
ADN,XLU
ADOC,XLF
ADPT,XLV
ADP,XLI
ADRA,XLF
ADRE,ETF
ADSK,XLK
ADS,XLF
ADTN,XLK
ADT,XLI
ADTX,XLV
ADUS,XLV
ADVM,XLV
ADV,XLC
ADXN,XLV
ADXS,XLV
ADX,XLF
AEACU,XLF
AEAC,XLF
AEB,ETF
AEE,XLU
AEF,XLF
AEGN,XLI
AEG,XLF
AEHL,XLI
AEHR,XLK
AEIS,XLI
AEI,XLRE
AEL,XLF
AEMD,XLV
AEM,XLB
AENZ,XLI
AEO,XLY
AEPPZ,XLU
AEP,XLU
AERI,XLV
AER,XLI
AESC,XLU
AESE,XLC
AESR,ETF
AES,XLU
AEVA,XLY
AE,XLE
AEYE,XLK
AEY,XLK
AEZS,XLV
AFAQU,XLF
AFBI,XLF
AFB,XLF
AFCG,XLRE
AFC,XLF
AFGE,XLF
AFG,XLF
AFIB,XLV
AFIF,ETF
AFINO,XLRE
AFINP,XLRE
AFIN,XLRE
AFI,XLI
AFK,ETF
AFLG,ETF
AFL,XLF
AFMC,ETF
AFMD,XLV
AFRM,XLK
AFSM,ETF
AFT,XLF
AFTY,ETF
AFYA,XLP
AGAC,XLF
AGBAU,XLF
AGBA,XLF
AGCB,XLF
AGCO,XLI
AGCUU,XLF
AGC,XLF
AGD,XLF
AGEN,XLV
AGE,XLV
AGFS,XLP
AGFY,XLI
AGG,ETF
AGGP,ETF
AGGRU,XLF
AGGR,XLF
AGGY,ETF
AGIO,XLV
AGI,XLB
AGLE,XLV
AGL,XLV
AGMH,XLK
AGM,XLF
AGNCM,XLRE
AGNCN,XLRE
AGNCO,XLRE
AGNCP,XLRE
AGNC,XLRE
AGNG,ETF
AGOX,ETF
AGO,XLF
AGQ,ETF
AGRO,XLP
AGR,XLU
AGRX,XLV
AGS,XLY
AGTC,XLV
AGT,ETF
AGTI,XLV
AG,XLB
AGX,XLI
AGYS,XLK
AGZD,ETF
AGZ,ETF
AHACU,XLF
AHAC,XLF
AHCO,XLV
AHC,XLC
AHH,XLRE
AHPI,XLV
AHT,XLRE
AIA,ETF
AIEQ,ETF
AIF,XLF
AIG,XLF
AIHS,XLF
AIH,XLV
AIIQ,ETF
AIKI,XLV
AIMC,XLI
AIM,XLV
AINC,XLF
AINV,XLF
AIN,XLY
AIQ,ETF
AIRC,XLRE
AIRG,XLK
AIRI,XLI
AIRR,ETF
AIRTP,XLI
AIRT,XLI
AIR,XLI
AIT,XLI
AIV,XLRE
AIW,XLF
AI,XLK
AIZP,XLF
AIZ,XLF
AJAX,XLF
AJG,XLF
AJRD,XLI
AJXA,ETF
AJX,XLRE
AKAM,XLK
AKBA,XLV
AKER,XLV
AKICU,XLF
AKIC,XLF
AKRO,XLV
AKR,XLRE
AKTS,XLK
AKTX,XLV
AKUS,XLV
AKU,XLV
AKYA,XLV
ALACU,XLF
ALAC,XLF
ALBO,XLV
ALB,XLB
ALCO,XLP
ALC,XLV
ALDX,XLV
ALEC,XLV
ALE,XLU
ALEX,XLRE
ALFA,ETF
ALF,XLK
ALGM,XLK
ALGN,XLV
ALGS,XLV
ALGT,XLI
ALG,XLI
ALHC,XLV
ALIM,XLV
ALJJ,XLI
ALKS,XLV
ALKT,XLK
ALK,XLI
ALLE,XLI
ALLK,XLV
ALLO,XLV
ALLT,XLK
ALL,XLF
ALLY,XLF
ALNA,XLV
ALNY,XLV
ALOT,XLK
ALPN,XLV
ALRM,XLK
ALRN,XLV
ALRS,XLF
ALSK,XLC
ALSN,XLY
ALTA,XLF
ALTG,XLI
ALTL,ETF
ALTM,XLE
ALTO,XLE
ALTR,XLK
ALTS,ETF
ALTUU,XLF
ALTU,XLF
ALT,XLV
ALTY,ETF
ALUS,XLF
ALVR,XLV
ALV,XLY
AL,XLI
ALXN,XLV
ALXO,XLV
ALX,XLRE
ALYA,XLK
AMAL,XLF
AMAOU,XLF
AMAO,XLF
AMAT,XLK
AMBA,XLK
AMBC,XLF
AMBO,XLP
AMCA,ETF
AMCIU,XLF
AMCI,XLF
AMCR,XLY
AMC,XLC
AMCX,XLC
AMD,XLK
AMED,XLV
AMEH,XLV
AMER,ETF
AME,XLI
AMGN,XLV
AMG,XLF
AMHCU,XLF
AMHC,XLF
AMH,XLRE
AMJ,ETF
AMKR,XLK
AMK,XLF
AMLP,ETF
AMLX,XLV
AMNA,ETF
AMNB,XLF
AMND,ETF
AMN,XLV
AMOM,ETF
AMOT,XLK
AMOV,XLC
AMPE,XLV
AMPG,XLK
AMPH,XLV
AMPI,XLF
AMP,XLF
AMPY,XLE
AMRB,XLF
AMRC,XLI
AMRH,XLK
AMRK,XLF
AMRN,XLV
AMRS,XLB
AMR,XLE
AMRX,XLV
AMSC,XLI
AMSF,XLF
AMST,XLK
AMSWA,XLK
AMS,XLV
AMTBB,XLF
AMTB,XLF
AMTI,XLV
AMTR,ETF
AMT,XLRE
AMTX,XLE
AMUB,ETF
AMWD,XLY
AMWL,XLV
AM,XLE
AMX,XLC
AMYT,XLV
AMZA,ETF
AMZN,XLY
ANAB,XLV
ANAC,XLF
ANAT,XLF
ANCN,XLV
ANDAU,XLF
ANDA,XLF
ANDE,XLP
ANEB,XLV
ANET,XLK
ANEW,ETF
ANF,XLY
ANGI,XLC
ANGL,ETF
ANGN,XLV
ANGO,XLV
ANH,XLRE
ANIK,XLV
ANIP,XLV
ANIX,XLV
ANNX,XLV
ANPC,XLV
ANSS,XLK
ANTE,XLC
ANTM,XLV
ANVS,XLV
AN,XLY
ANY,XLK
ANZUU,XLF
ANZU,XLF
AOA,ETF
AOD,XLF
AOK,ETF
AOM,ETF
AONE,XLF
AON,XLF
AOR,ETF
AOSL,XLK
AOS,XLI
AOUT,XLY
APAM,XLF
APA,XLE
APDN,XLI
APD,XLB
APEI,XLP
APEN,XLV
APGB,XLF
APG,XLI
APHA,XLV
APH,XLK
API,XLK
APLE,XLRE
APLS,XLV
APLT,XLV
APM,XLV
APOG,XLI
APOP,XLV
APO,XLF
APPF,XLK
APPH,XLP
APPN,XLK
APPS,XLK
APP,XLK
APRE,XLV
APRN,XLY
APR,XLV
APRZ,ETF
APSG,XLF
APTO,XLV
APTS,XLRE
APTV,XLY
APT,XLI
APTX,XLV
APVO,XLV
APWC,XLI
AP,XLI
APXTU,XLF
APXT,XLF
APYX,XLV
AQB,XLP
AQMS,XLI
AQN,XLU
AQST,XLV
AQUA,XLI
AQWA,ETF
ARAV,XLV
ARA,XLV
ARAY,XLV
ARB,ETF
ARBGU,XLF
ARBG,XLF
ARCB,XLI
ARCC,XLF
ARCE,XLP
ARCH,XLE
ARCM,ETF
ARCO,XLY
ARCT,XLV
ARC,XLI
ARDC,XLF
ARDS,XLV
ARD,XLY
ARDX,XLV
AREC,XLB
ARES,XLF
ARE,XLRE
ARGD,ETF
ARGO,XLF
ARGT,ETF
ARGX,XLV
ARI,XLRE
ARKF,ETF
ARKG,ETF
ARKIU,XLF
ARKK,ETF
ARKO,XLY
ARKQ,ETF
ARKR,XLY
ARKW,ETF
ARKX,ETF
ARLO,XLI
ARLP,XLE
ARL,XLRE
ARMK,XLY
ARMP,XLV
ARMR,ETF
ARNA,XLV
ARNC,XLI
AROC,XLE
AROW,XLF
ARPO,XLV
ARQT,XLV
ARRWU,XLF
ARRW,XLF
ARR,XLRE
ARRY,XLK
ARTL,XLV
ARTNA,XLU
ARTW,XLI
ARVL,XLY
ARVN,XLV
ARWR,XLV
ARW,XLK
AR,XLE
ARYA,XLF
ARYD,XLF
ASAI,XLP
ASAN,XLK
ASAQ,XLF
ASA,XLF
ASAXU,XLF
ASAX,XLF
ASB,XLF
ASC,XLI
ASEA,ETF
ASET,ETF
ASGI,ETF
ASGN,XLI
ASG,XLF
ASHR,ETF
ASHS,ETF
ASHX,ETF
ASH,XLB
ASIX,XLB
ASLE,XLI
ASLN,XLV
ASMB,XLV
ASML,XLK
ASM,XLB
ASND,XLV
ASO,XLY
ASPCU,XLF
ASPC,XLF
ASPL,XLF
ASPN,XLI
ASPS,XLF
ASPU,XLP
ASPY,ETF
ASRT,XLV
ASRVP,XLF
ASRV,XLF
ASR,XLI
ASTC,XLI
ASTE,XLI
ASTS,XLC
ASUR,XLK
ASXC,XLV
ASX,XLK
ASYS,XLK
ASZ,XLF
ATAC,XLF
ATAQ,XLF
ATA,XLF
ATAX,XLF
ATCO,XLF
ATC,XLK
ATCX,XLI
ATEC,XLV
ATEN,XLK
ATER,XLK
ATEX,XLC
ATFV,ETF
ATGE,XLP
ATHA,XLV
ATHE,XLV
ATHM,XLC
ATHN,XLK
ATH,XLF
ATHX,XLV
ATIF,XLF
ATI,XLI
ATKR,XLI
ATLC,XLF
ATLO,XLF
ATMP,ETF
ATMR,XLF
ATNF,XLV
ATNI,XLC
ATNM,XLV
ATNX,XLV
ATOM,XLK
ATOS,XLV
ATO,XLU
ATRA,XLV
ATRC,XLV
ATRI,XLV
ATRO,XLI
ATRS,XLV
ATR,XLY
ATSG,XLI
ATSPT,XLF
ATSPU,XLF
ATTO,XLI
ATUS,XLC
ATVCU,XLF
ATVI,XLC
ATV,XLY
ATXI,XLV
AT,XLU
AUBAP,XLF
AUBN,XLF
AUB,XLF
AUDC,XLK
AUD,XLC
AUGZ,ETF
AUMN,XLB
AUPH,XLV
AURCU,XLF
AURC,XLF
AUSF,ETF
AUS,XLF
AUTL,XLV
AUTO,XLC
AUUD,XLK
AUVI,XLY
AU,XLB
AUY,XLB
AVAH,XLV
AVAL,XLF
AVAN,XLF
AVAV,XLI
AVA,XLU
AVB,XLRE
AVCO,XLV
AVCT,XLK
AVDE,ETF
AVDG,ETF
AVDL,XLV
AVDR,ETF
AVDV,ETF
AVD,XLB
AVEM,ETF
AVEO,XLV
AVGOP,XLK
AVGO,XLK
AVGR,XLV
AVID,XLC
AVIG,ETF
AVIR,XLV
AVK,XLF
AVLR,XLK
AVMU,ETF
AVNS,XLV
AVNT,XLB
AVNW,XLK
AVO,XLP
AVRO,XLV
AVSF,ETF
AVTR,XLB
AVT,XLK
AVUS,ETF
AVUV,ETF
AVXL,XLV
AVYA,XLK
AVY,XLI
AWAY,ETF
AWF,XLF
AWH,XLV
AWI,XLI
AWK,XLU
AWP,XLF
AWRE,XLK
AWR,XLU
AWTM,ETF
AWX,XLI
AXAS,XLE
AXDX,XLV
AXGN,XLV
AXLA,XLV
A,XLV
AXL,XLY
AXNX,XLV
AXON,XLI
AXP,XLF
AXR,XLRE
AXSM,XLV
AXS,XLF
AXTA,XLB
AXTI,XLK
AXU,XLB
AX,XLF
AYI,XLI
AYLA,XLV
AYRO,XLY
AYTU,XLV
AY,XLU
AYX,XLK
AZAA,ETF
AZAJ,ETF
AZAL,ETF
AZAO,ETF
AZBA,ETF
AZBJ,ETF
AZBL,ETF
AZBO,ETF
AZEK,XLI
AZN,XLV
AZO,XLY
AZPN,XLK
AZRE,XLU
AZRX,XLV
AZUL,XLI
AZYO,XLV
AZZ,XLI
BABA,XLY
BAB,ETF
BAC,XLF
BAF,XLF
BAH,XLI
BAK,XLB
BAL,ETF
BALL,XLY
BALY,XLY
BAM,XLF
BANC,XLF
BAND,XLK
BANFP,XLF
BANF,XLF
BANR,XLF
BANX,XLF
BAOS,XLC
BAPR,ETF
BAP,XLF
BAR,ETF
BASI,XLV
BATL,XLE
BATRA,XLC
BATRK,XLC
BATT,ETF
BAUG,ETF
BA,XLI
BAX,XLV
BBAR,XLF
BBAX,ETF
BBBY,XLY
BBCA,ETF
BBC,ETF
BBCP,XLI
BBDC,XLF
BBDO,XLF
BBD,XLF
BBEU,ETF
BBF,XLF
BBGI,XLC
BBH,ETF
BBIG,XLY
BBIN,ETF
BBIO,XLV
BBI,XLV
BBJP,ETF
BBK,XLF
BBL,XLB
BBMC,ETF
BBN,XLF
BBP,ETF
BBQ,XLY
BBRE,ETF
BBSA,ETF
BBSC,ETF
BBSI,XLI
BBUS,ETF
BBU,XLI
BBVA,XLF
BBWI,XLY
BBW,XLY
BB,XLK
BBY,XLY
BCAB,XLV
BCACU,XLF
BCAC,XLF
BCBP,XLF
BCC,XLB
BCDA,XLV
BCD,ETF
BCEI,XLE
BCEL,XLV
BCE,XLC
BCH,XLF
BCI,ETF
BCLI,XLV
BCM,ETF
BCML,XLF
BCOR,XLF
BCOV,XLK
BCOW,XLF
BCO,XLI
BCPC,XLB
BCRX,XLV
BCSF,XLF
BCS,XLF
BCTG,XLF
BCTX,XLV
BCV,XLF
BC,XLY
BCX,XLF
BCYC,XLV
BCYPU,XLF
BCYP,XLF
BDCX,ETF
BDC,XLI
BDCZ,ETF
BDEC,ETF
BDGE,XLF
BDJ,XLF
BDL,XLY
BDN,XLRE
BDR,XLK
BDRY,ETF
BDSI,XLV
BDSX,XLV
BDTX,XLV
BDXB,XLV
BDX,XLV
BEAM,XLV
BEAT,XLV
BECN,XLI
BEDU,XLP
BEDZ,ETF
BEEM,XLK
BEKE,XLRE
BELFA,XLK
BELFB,XLK
BENEU,XLF
BENE,XLF
BEN,XLF
BEPC,XLU
BEP,XLU
BERY,XLY
BEST,XLI
BETZ,ETF
BE,XLI
BFAM,XLY
BFC,XLF
BFEB,ETF
BFH,XLF
BFIN,XLF
BFIT,ETF
BFI,XLY
BFK,XLF
BFLY,XLV
BFOR,ETF
BFO,XLF
BFRA,XLV
BFST,XLF
BFS,XLRE
BFTR,ETF
BFT,XLF
BFY,XLF
BFZ,XLF
BGB,XLF
BGCP,XLF
BGFV,XLY
BGH,XLF
BGIO,XLF
BGI,XLY
BGLD,ETF
BGNE,XLV
BGRN,ETF
BGR,XLF
BGSF,XLI
BGS,XLP
BGSX,XLF
BGT,XLF
BG,XLP
BGX,XLF
BGY,XLF
BHAT,XLC
BHB,XLF
BHC,XLV
BHE,XLK
BHFAL,ETF
BHFAN,XLF
BHFAO,XLF
BHFAP,XLF
BHF,XLF
BHK,XLF
BHLB,XLF
BHP,XLB
BHR,XLRE
BHSEU,XLF
BHSE,XLF
BHTG,XLI
BHVN,XLV
BHV,XLF
BH,XLY
BIB,ETF
BIBL,ETF
BICK,ETF
BIDU,XLC
BIF,XLF
BIGC,XLK
BIG,XLP
BIGZ,XLF
BIIB,XLV
BIL,ETF
BILI,XLC
BILL,XLK
BILS,ETF
BIMI,XLV
BIOC,XLV
BIOL,XLV
BIOTU,XLF
BIOT,XLF
BIO,XLV
BIOX,XLB
BIPC,XLU
BIP,XLU
BIS,ETF
BITE,XLF
BITI,XLV
BITO,ETF
BITQ,ETF
BIT,XLF
BIV,ETF
BIVI,XLV
BIZD,ETF
BJAN,ETF
BJK,ETF
BJRI,XLY
BJUL,ETF
BJUN,ETF
BJ,XLP
BKAG,ETF
BKCC,XLF
BKD,XLV
BKEM,ETF
BKEPP,XLE
BKEP,XLE
BKE,XLY
BKF,ETF
BKH,XLU
BKHY,ETF
BKIE,ETF
BKI,XLK
BKK,XLF
BKLC,ETF
BKLN,ETF
BKMC,ETF
BKNG,XLY
BKN,XLF
BKR,XLE
BKSB,ETF
BKSC,XLF
BKSE,ETF
BKTI,XLK
BKT,XLF
BKU,XLF
BK,XLF
BKYI,XLI
BLBD,XLY
BLCM,XLV
BLCN,ETF
BLCT,XLC
BLDE,XLI
BLDG,ETF
BLDP,XLI
BLDR,XLI
BLD,XLI
BLES,ETF
BLE,XLF
BLFS,XLV
BLHY,ETF
BLIN,XLK
BLI,XLV
BLKB,XLK
BLK,XLF
BLL,XLY
BLMN,XLY
BLNK,XLY
BLOK,ETF
BLPH,XLV
BLRX,XLV
BLSA,XLF
BLTSU,XLF
BLTS,XLF
BLUA,XLF
BLUE,XLV
BLUWU,XLF
